Rank,Country,Bronze,Silver,Gold,Total,year
1,United States,25,32,44,101,1996
2,Germany,27,18,20,65,1996
3,Russia,16,21,26,63,1996
4,China,12,22,16,50,1996
5,Australia,23,9,9,41,1996
6,France,15,7,15,37,1996
7,Italy,12,10,13,35,1996
8,South Korea,5,15,7,27,1996
9,Cuba,8,8,9,25,1996
10,Ukraine,12,2,9,23,1996
11,Canada,8,11,3,22,1996
12,Hungary,10,4,7,21,1996
13,Romania,9,7,4,20,1996
14,Netherlands,10,5,4,19,1996
15,Poland,5,5,7,17,1996
16,Spain,6,6,5,17,1996
17,Bulgaria,5,7,3,15,1996
18,Brazil,9,3,3,15,1996
19,Great Britain,6,8,1,15,1996
20,Belarus,8,6,1,15,1996
21,Japan,5,6,3,14,1996
22,Czech Republic,4,3,4,11,1996
23,Kazakhstan,4,4,3,11,1996
24,Greece,0,4,4,8,1996
25,Sweden,2,4,2,8,1996
26,Kenya,3,4,1,8,1996
27,Switzerland,0,3,4,7,1996
28,Norway,3,2,2,7,1996
29,Denmark,1,1,4,6,1996
30,Turkey,1,1,4,6,1996
31,New Zealand,1,2,3,6,1996
32,Belgium,2,2,2,6,1996
33,Nigeria,3,1,2,6,1996
34,Jamaica,2,3,1,6,1996
35,South Africa,1,1,3,5,1996
36,North Korea,2,1,2,5,1996
37,Ireland,1,0,3,4,1996
38,Finland,1,2,1,4,1996
39,Indonesia,2,1,1,4,1996
40,Serbia and Montenegro,2,1,1,4,1996
41,Ethiopia,1,0,2,3,1996
42,Algeria,1,0,2,3,1996
43,Slovakia,1,1,1,3,1996
44,Iran,1,1,1,3,1996
45,Argentina,1,2,0,3,1996
46,Austria,2,1,0,3,1996
47,Croatia,0,1,1,2,1996
48,Armenia,0,1,1,2,1996
49,Portugal,1,0,1,2,1996
50,Thailand,1,0,1,2,1996
51,Namibia,0,2,0,2,1996
52,Slovenia,0,2,0,2,1996
53,Malaysia,1,1,0,2,1996
54,Moldova,1,1,0,2,1996
55,Uzbekistan,1,1,0,2,1996
56,Trinidad and Tobago,2,0,0,2,1996
57,Morocco,2,0,0,2,1996
58,Georgia,2,0,0,2,1996
59,Costa Rica,0,0,1,1,1996
60,Hong Kong,0,0,1,1,1996
61,Burundi,0,0,1,1,1996
62,Ecuador,0,0,1,1,1996
63,Syria,0,0,1,1,1996
64,Philippines,0,1,0,1,1996
65,Tonga,0,1,0,1,1996
66,Chinese Taipei,0,1,0,1,1996
67,Zambia,0,1,0,1,1996
68,Bahamas,0,1,0,1,1996
69,Latvia,0,1,0,1,1996
70,Azerbaijan,0,1,0,1,1996
71,India,1,0,0,1,1996
72,Uganda,1,0,0,1,1996
73,Mexico,1,0,0,1,1996
74,Mozambique,1,0,0,1,1996
75,Israel,1,0,0,1,1996
76,Mongolia,1,0,0,1,1996
77,Tunisia,1,0,0,1,1996
78,Puerto Rico,1,0,0,1,1996
79,Lithuania,1,0,0,1,1996
