Total,Rank,Athlete,Bronze,Silver,Gold,year
6,1,Michael Phelps (USA),0,1,5,2016
5,2,Katie Ledecky (USA),0,1,4,2016
5,3,Simone Biles (USA),1,0,4,2016
4,4,Katinka HosszÃº (HUN),0,1,3,2016
4,5,Simone Manuel (USA),0,2,2,2016
4,6,Maya DiRado (USA),1,1,2,2016
4,7,Nathan Adrian (USA),2,0,2,2016
4,8,Emma McKeon (AUS),1,2,1,2016
4,9,Penny Oleksiak (CAN),2,1,1,2016
3,10,Usain Bolt (JAM),0,0,3,2016
3,11,Jason Kenny (GBR),0,0,3,2016
3,12,Danuta KozÃ¡k (HUN),0,0,3,2016
3,13,Ryan Murphy (USA),0,0,3,2016
3,14,Allyson Felix (USA),0,1,2,2016
3,15,Elaine Thompson (JAM),0,1,2,2016
3,16,Max Whitlock (GBR),1,0,2,2016
3,17,Aly Raisman (USA),0,2,1,2016
3,18,Dana Vollmer (USA),1,1,1,2016
3,19,Sarah SjÃ¶strÃ¶m (SWE),1,1,1,2016
3,20,Aliya Mustafina (RUS),1,1,1,2016
3,21,Kosuke Hagino (JPN),1,1,1,2016
3,22,Tori Bowie (USA),1,1,1,2016
3,23,Kyle Chalmers (AUS),2,0,1,2016
3,24,Denis Ablyazin (RUS),1,2,0,2016
3,25,Isaquias Queiroz (BRA),1,2,0,2016
3,26,Andre De Grasse (CAN),2,1,0,2016
Total,Rank,Athlete,Bronze,Silver,Gold,year
6,1,Michael Phelps (USA),0,1,5,2016
5,2,Katie Ledecky (USA),0,1,4,2016
5,3,Simone Biles (USA),1,0,4,2016
4,4,Katinka HosszÃº (HUN),0,1,3,2016
4,5,Simone Manuel (USA),0,2,2,2016
4,6,Maya DiRado (USA),1,1,2,2016
4,7,Nathan Adrian (USA),2,0,2,2016
4,8,Emma McKeon (AUS),1,2,1,2016
4,9,Penny Oleksiak (CAN),2,1,1,2016
3,10,Usain Bolt (JAM),0,0,3,2016
3,11,Jason Kenny (GBR),0,0,3,2016
3,12,Danuta KozÃ¡k (HUN),0,0,3,2016
3,13,Ryan Murphy (USA),0,0,3,2016
3,14,Allyson Felix (USA),0,1,2,2016
3,15,Elaine Thompson (JAM),0,1,2,2016
3,16,Max Whitlock (GBR),1,0,2,2016
3,17,Aly Raisman (USA),0,2,1,2016
3,18,Dana Vollmer (USA),1,1,1,2016
3,19,Sarah SjÃ¶strÃ¶m (SWE),1,1,1,2016
3,20,Aliya Mustafina (RUS),1,1,1,2016
3,21,Kosuke Hagino (JPN),1,1,1,2016
3,22,Tori Bowie (USA),1,1,1,2016
3,23,Kyle Chalmers (AUS),2,0,1,2016
3,24,Denis Ablyazin (RUS),1,2,0,2016
3,25,Isaquias Queiroz (BRA),1,2,0,2016
3,26,Andre De Grasse (CAN),2,1,0,2016
Total,Rank,Athlete,Bronze,Silver,Gold,year
6,1,Michael Phelps (USA),0,1,5,2016
5,2,Katie Ledecky (USA),0,1,4,2016
5,3,Simone Biles (USA),1,0,4,2016
4,4,Katinka HosszÃº (HUN),0,1,3,2016
4,5,Simone Manuel (USA),0,2,2,2016
4,6,Maya DiRado (USA),1,1,2,2016
4,7,Nathan Adrian (USA),2,0,2,2016
4,8,Emma McKeon (AUS),1,2,1,2016
4,9,Penny Oleksiak (CAN),2,1,1,2016
3,10,Usain Bolt (JAM),0,0,3,2016
3,11,Jason Kenny (GBR),0,0,3,2016
3,12,Danuta KozÃ¡k (HUN),0,0,3,2016
3,13,Ryan Murphy (USA),0,0,3,2016
3,14,Allyson Felix (USA),0,1,2,2016
3,15,Elaine Thompson (JAM),0,1,2,2016
3,16,Max Whitlock (GBR),1,0,2,2016
3,17,Aly Raisman (USA),0,2,1,2016
3,18,Dana Vollmer (USA),1,1,1,2016
3,19,Sarah SjÃ¶strÃ¶m (SWE),1,1,1,2016
3,20,Aliya Mustafina (RUS),1,1,1,2016
3,21,Kosuke Hagino (JPN),1,1,1,2016
3,22,Tori Bowie (USA),1,1,1,2016
3,23,Kyle Chalmers (AUS),2,0,1,2016
3,24,Denis Ablyazin (RUS),1,2,0,2016
3,25,Isaquias Queiroz (BRA),1,2,0,2016
3,26,Andre De Grasse (CAN),2,1,0,2016
Total,Rank,Athlete,Bronze,Silver,Gold,year
6,1,Michael Phelps (USA),0,1,5,2016
5,2,Katie Ledecky (USA),0,1,4,2016
5,3,Simone Biles (USA),1,0,4,2016
4,4,Katinka HosszÃº (HUN),0,1,3,2016
4,5,Simone Manuel (USA),0,2,2,2016
4,6,Maya DiRado (USA),1,1,2,2016
4,7,Nathan Adrian (USA),2,0,2,2016
4,8,Emma McKeon (AUS),1,2,1,2016
4,9,Penny Oleksiak (CAN),2,1,1,2016
3,10,Usain Bolt (JAM),0,0,3,2016
3,11,Jason Kenny (GBR),0,0,3,2016
3,12,Danuta KozÃ¡k (HUN),0,0,3,2016
3,13,Ryan Murphy (USA),0,0,3,2016
3,14,Allyson Felix (USA),0,1,2,2016
3,15,Elaine Thompson (JAM),0,1,2,2016
3,16,Max Whitlock (GBR),1,0,2,2016
3,17,Aly Raisman (USA),0,2,1,2016
3,18,Dana Vollmer (USA),1,1,1,2016
3,19,Sarah SjÃ¶strÃ¶m (SWE),1,1,1,2016
3,20,Aliya Mustafina (RUS),1,1,1,2016
3,21,Kosuke Hagino (JPN),1,1,1,2016
3,22,Tori Bowie (USA),1,1,1,2016
3,23,Kyle Chalmers (AUS),2,0,1,2016
3,24,Denis Ablyazin (RUS),1,2,0,2016
3,25,Isaquias Queiroz (BRA),1,2,0,2016
3,26,Andre De Grasse (CAN),2,1,0,2016
